time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,-4.82378032280468,-1.01187013038766,1754.44,14.7533385118106,13.4305555555556,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8701.33920254501,75804.216167832,-1544.38670960121,-4148.129120088,0.0141148466543932
0.1,-3.08568651774574,-0.533733681166092,1754.45,14.7533385118106,14.1666666666667,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8709.34126247108,75710.6438601398,-1544.38670960121,-4148.129120088,0.0141148466543932
0.2,-1.33994026269967,-0.411420322750071,1754.22,14.7533385118106,14.5583333333333,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8712.85354469599,75509.541146853,-1544.38670960121,-4148.129120088,0.0141148466543932
0.3,0,0,1753.79,14.7533385118106,14.4055555555556,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8711.51234114494,75220.8573146853,-1544.38670960121,-4148.129120088,0.0141148466543932
0.4,1.25571170915714,0.511494887519505,1753.26,14.7533385118106,14.2694444444444,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8704.98388825647,74864.5416503495,-1544.38670960121,-4148.129120088,0.0141148466543932
0.5,2.52673951541342,1.10082740516231,1752.68,14.7533385118106,14.375,3.41842135565985,12.354301109266,6.01907416029235,-5.36684149184262,-2.66696902953479,2.10996957702239,0.3477199223133,-1.49895786426977,3.11738314764775,8692.97181776907,74460.5434405589,-1544.38670960121,-4148.129120088,0.0141148466543932
0.6,3.79776685570535,1.76799652042371,1752.23,14.5531724017077,14.475,4.56326666621159,11.7539648548887,6.75572852887644,-5.29143356643466,-3.70757195096136,2.63730416901679,0.349198533056887,-1.89714788443974,4.09069174620667,8484.20197154497,74030.8059860137,-2330.87504861035,-4274.4412809105,0.0195954207097432
0.7,4.99987970826735,2.4462836262455,1751.72,14.2862305821102,14.425,5.32314752286357,11.346355940594,6.91157103771652,-5.25231157731216,-4.28360071966435,3.11823067938804,0.513129471754283,-2.08217985243242,4.76873793992417,8176.88140966228,73597.5195524473,-2793.81593164049,-4254.80429491249,0.0240034777902853
0.8,6.09479997265084,3.14681129297298,1751.21,13.9152270952196,14.0555555555556,6.20280170548014,10.7896136422934,7.12549339477281,-5.14248251748322,-4.80503371126403,3.80181863105202,0.965699294661309,-2.13584121018049,5.64799661781393,7767.96256064815,73187.9783496501,-3031.33023256557,-4139.59385169577,0.0300747529462821
0.9,7.08252223949136,3.88069561362696,1750.69,13.694470649798,13.5805555555556,8.07283858146209,10.2706926725357,7.51610100897384,-5.05565268065371,-6.07104969698438,4.9815797611662,1.87001107542924,-2.50947673359581,7.61217021932046,7486.75141744664,72793.2733426569,-3113.68876286156,-3953.8742478034,0.0409136761989597
